x,y,Name,Team,Age
-4.57939856877546,-9.126455731397858,ANDREAS KARLSSON,Tampa Bay Lightning,32.0
4.1510088995684375,-1.6513380082203302,PATRIC KJELLBERG,Nashville Predators,30.0
2.8539878904566334,-1.6236900542167154,PATRIC KJELLBERG,Nashville Predators,31.0
1.7654971124841279,-1.7904994006163317,PATRIC KJELLBERG,Nashville Predators,32.0
1.289691545973298,-2.666924192750034,PATRIC KJELLBERG,Mighty Ducks of Anaheim,32.0
4.068444841851485,5.1257452169669895,PATRIC KJELLBERG,Mighty Ducks of Anaheim,33.0
-6.368020424696824,0.7650401530156008,ESPEN KNUTSEN,Columbus Blue Jackets,28.0
-2.5171665417871627,6.483588368877708,ESPEN KNUTSEN,Columbus Blue Jackets,29.0
0.2568857717035099,1.2190410929997935,ESPEN KNUTSEN,Columbus Blue Jackets,30.0
5.405171186715544,9.796784430116675,ESPEN KNUTSEN,Columbus Blue Jackets,31.0
1.4242000609931704,-4.8032838935410265,MATS LINDGREN,New York Islanders,25.0
8.132888188266389,6.327075165110909,MATS LINDGREN,New York Islanders,26.0
-3.273903691452802,-6.809900706892015,MATS LINDGREN,New York Islanders,27.0
-7.26057494295015,-2.974976829453379,MATS LINDGREN,Vancouver Canucks,28.0
2.826062902160527,0.03522403853265389,FREDRIK MODIN,Tampa Bay Lightning,25.0
-2.035497302211656,6.457326079046904,FREDRIK MODIN,Tampa Bay Lightning,26.0
-5.610519657026159,0.9030640380823303,FREDRIK MODIN,Tampa Bay Lightning,27.0
2.879806927226545,3.6427837384798214,FREDRIK MODIN,Tampa Bay Lightning,28.0
-6.4495835291027195,-3.086510241493296,FREDRIK MODIN,Tampa Bay Lightning,29.0
-2.1212964383777457,6.546277380973569,FREDRIK MODIN,Tampa Bay Lightning,31.0
4.810746297279503,0.47517368304268603,FREDRIK MODIN,Columbus Blue Jackets,32.0
8.653938290551377,-2.2081053676536073,FREDRIK MODIN,Columbus Blue Jackets,33.0
-2.3856167496384617,1.5986797110938797,FREDRIK MODIN,Columbus Blue Jackets,34.0
8.430872685686314,-1.7629634495985378,FREDRIK MODIN,Columbus Blue Jackets,35.0
8.514139367166681,6.71053782842831,FREDRIK MODIN,Los Angeles Kings,35.0
-9.095194524523706,2.7052975944605766,FREDRIK MODIN,Atlanta Thrashers,36.0
9.784734642838616,-4.5686614977076285,MARCUS NILSON,Florida Panthers,21.0
4.933671664075107,0.5079223755651826,MARCUS NILSON,Florida Panthers,22.0
4.723240644327549,0.6598194743979404,MARCUS NILSON,Florida Panthers,23.0
6.356261643322212,-1.0329646739954539,MARCUS NILSON,Florida Panthers,24.0
1.3887886344749565,2.3571570532014547,MARCUS NILSON,Florida Panthers,25.0
-6.065974528490279,8.640702777912246,MARCUS NILSON,Calgary Flames,25.0
3.1433633944075354,5.639349254244607,MARCUS NILSON,Calgary Flames,27.0
-0.6562848185874055,-5.789309400045009,MARCUS NILSON,Calgary Flames,28.0
-4.673845793841015,-6.909285560454738,MARCUS NILSON,Calgary Flames,29.0
-0.5329902122272412,-9.423248584831551,SAMUEL PAHLSSON,Boston Bruins,23.0
-3.629951396138785,-8.962821894177718,SAMUEL PAHLSSON,Mighty Ducks of Anaheim,23.0
7.599758400766237,3.39707892455121,SAMUEL PAHLSSON,Mighty Ducks of Anaheim,24.0
-1.1391139539745683,0.30745200433086783,SAMUEL PAHLSSON,Mighty Ducks of Anaheim,25.0
9.101831887780746,4.059426980046495,SAMUEL PAHLSSON,Mighty Ducks of Anaheim,26.0
9.61917555667417,3.8759965789819972,SAMUEL PAHLSSON,Mighty Ducks of Anaheim,28.0
7.224763482378258,0.22871734952081083,SAMUEL PAHLSSON,Anaheim Ducks,29.0
-7.59816377665225,-2.333230315449937,SAMUEL PAHLSSON,Anaheim Ducks,30.0
-6.112117884293756,-4.353356270095353,SAMUEL PAHLSSON,Anaheim Ducks,31.0
-6.258067091388154,8.572004957410412,SAMUEL PAHLSSON,Chicago Blackhawks,31.0
7.158155764983388,3.637357579939212,SAMUEL PAHLSSON,Columbus Blue Jackets,32.0
9.36092769927738,4.003630518602686,SAMUEL PAHLSSON,Columbus Blue Jackets,33.0
-2.249651809716565,-8.054150564477801,SAMUEL PAHLSSON,Columbus Blue Jackets,34.0
-8.123359157147561,-4.988691874009763,SAMUEL PAHLSSON,Vancouver Canucks,34.0
-4.226137003531374,5.106933502520311,MIKAEL RENBERG,Philadelphia Flyers,27.0
-2.20929800281015,-11.03390511729183,MIKAEL RENBERG,Phoenix Coyotes,27.0
-5.538236857689425,0.6182894414659628,MIKAEL RENBERG,Toronto Maple Leafs,29.0
-4.487287698247902,-2.49962491262613,MIKAEL RENBERG,Toronto Maple Leafs,30.0
-3.55533119767193,1.5910595884838699,MIKAEL RENBERG,Toronto Maple Leafs,31.0
0.6160545145622921,-0.4493997174253244,MIKAEL SAMUELSSON,New York Rangers,25.0
-3.8024988665482717,1.7333506119217894,MIKAEL SAMUELSSON,New York Rangers,26.0
-1.5722019085017784,10.650454403317163,MIKAEL SAMUELSSON,Pittsburgh Penguins,26.0
-8.54661248517198,1.9318335697704885,MIKAEL SAMUELSSON,Florida Panthers,27.0
-2.722612825423884,0.07766608170255489,MIKAEL SAMUELSSON,Detroit Red Wings,29.0
-5.651984309370593,1.4178363065451378,MIKAEL SAMUELSSON,Detroit Red Wings,30.0
1.1971338264671092,4.223867276602806,MIKAEL SAMUELSSON,Detroit Red Wings,31.0
3.5089245291980924,0.607576975656159,MIKAEL SAMUELSSON,Detroit Red Wings,32.0
0.06628050913616591,4.812153894638943,MIKAEL SAMUELSSON,Vancouver Canucks,33.0
-0.6399558133450972,5.415498379857757,MIKAEL SAMUELSSON,Vancouver Canucks,34.0
11.195671477377518,-0.6707305014396323,MIKAEL SAMUELSSON,Vancouver Canucks,35.0
